;timestamp;test_news;test_spam;testing_set_len;train_news;train_spam;training_set_len;R2;acc_AdaBoost;acc_BernoulliNB;acc_LinearSVC;acc_LogReg;acc_MLP;acc_MNB;acc_Naivebayes;acc_RandomForest;acc_SGD;acc_SVC;acc_Voted;kappa_AdaBoost;kappa_BernoulliNB;kappa_LinearSVC;kappa_LogReg;kappa_MLP;kappa_MNB;kappa_Naivebayes;kappa_RandomForest;kappa_SGD;kappa_SVC;kappa_voted;comments
0;20170718_10:44:47;17.0;268.0;285.0;53.0;609.0;662.0;-0.09;94.04;94.04;93.33;93.68;93.68;83.86;93.68;94.04;93.68;94.04;93.68;0.3412644459551333;0.0;0.14737836561171308;0.08360128617363323;0.08360128617363323;0.23530097993467106;-0.006671899529042609;0.0;0.2229627385640702;0.0;0.08360128617363323;testing script
1;20170718_10:48:36;17.0;268.0;285.0;53.0;609.0;662.0;-0.09;92.98;94.04;93.33;93.68;93.33;83.86;93.68;94.04;92.98;94.04;93.68;0.2969906265416875;0.0;0.14737836561171308;0.08360128617363323;0.07420071807146479;0.23530097993467106;-0.006671899529042609;0.0;0.1976351351351356;0.0;0.08360128617363323;testing script
2;20170718_10:50:27;17.0;268.0;285.0;53.0;609.0;662.0;-0.09;93.68;94.04;93.33;93.68;93.33;83.86;93.68;94.04;94.04;94.04;93.68;0.3255324743623461;0.0;0.14737836561171308;0.08360128617363323;0.07420071807146479;0.23530097993467106;-0.006671899529042609;0.0;0.1716532740639425;0.0;0.08360128617363323;testing script
3;20170718_10:52:33;17.0;268.0;285.0;53.0;609.0;662.0;-0.09;92.98;94.04;93.33;93.68;93.68;83.86;93.68;94.04;92.98;94.04;93.68;0.2969906265416875;0.0;0.14737836561171308;0.08360128617363323;0.08360128617363323;0.23530097993467106;-0.006671899529042609;0.0;0.1976351351351356;0.0;0.08360128617363323;testing script
4;20170718_12:02:07;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-8,35E+35;89.51;91.03;90.07;91.35;91.03;89.88;90.76;88.18;91.05;88.18;91.32;0.3276743754974756;0.5614952587228276;0.5048119541750966;0.5018827826989654;0.44308108193726536;0.5601689211676567;0.5885463823403504;0.0;0.4903910452100593;0.0;0.5089699909530129;robustness test: smae split
5;20170718_13:04:33;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-1,48E+38;89.51;90.92;90.39;91.37;91.11;89.8;90.65;88.18;91.4;88.18;91.48;0.3276743754974756;0.5580468979681413;0.5197693049823832;0.5028336111383469;0.4609625558156563;0.5586469182709475;0.5845556954701701;0.0;0.5151615424825313;0.0;0.5234878255326031;robustness test: smae split
6;20170718_13:34:43;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-1,48E+38;89.51;90.92;90.39;91.37;91.03;89.8;90.65;88.18;90.79;88.18;91.24;0.3276743754974756;0.5580468979681413;0.5197693049823832;0.5028336111383469;0.4374016608974392;0.5586469182709475;0.5845556954701701;0.0;0.5383165936258381;0.0;0.5150486237019939;robustness test: smae split
7;20170718_14:06:23;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-1,48E+38;89.51;90.92;90.39;91.37;90.89;89.8;90.65;88.18;90.71;88.18;91.16;0.3276743754974756;0.5580468979681413;0.5197693049823832;0.5028336111383469;0.4239139794205017;0.5586469182709475;0.5845556954701701;0.0;0.501285170998507;0.0;0.5067403356877042;robustness test: smae split
8;20170718_14:37:34;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-1,48E+38;89.51;90.92;90.39;91.37;91.19;89.8;90.65;88.18;90.97;88.18;91.35;0.3276743754974756;0.5580468979681413;0.5197693049823832;0.5028336111383469;0.46249228262956105;0.5586469182709475;0.5845556954701701;0.0;0.509147935180345;0.0;0.5198638768661474;robustness test: smae split
9;20170718_15:51:29;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-1,48E+38;89.51;90.92;90.39;91.37;90.87;89.8;90.65;88.18;90.55;88.18;91.27;0.3276743754974756;0.5580468979681413;0.5197693049823832;0.5028336111383469;0.4317314461447257;0.5586469182709475;0.5845556954701701;0.0;0.5003440011151932;0.0;0.5104617673425015;robustness test: smae split
10;20170718_16:28:27;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-1,48E+38;89.51;90.92;90.39;91.37;91.11;89.8;90.65;88.18;91.56;88.18;91.37;0.3276743754974756;0.5580468979681413;0.5197693049823832;0.5028336111383469;0.4501204515090625;0.5586469182709475;0.5845556954701701;0.0;0.5538283052211727;0.0;0.5218805691493873;robustness test: smae split
11;20170718_17:05:43;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-1,48E+38;89.51;90.92;90.39;91.37;91.11;89.8;90.65;88.18;91.21;88.18;91.32;0.3276743754974756;0.5580468979681413;0.5197693049823832;0.5028336111383469;0.452871662287909;0.5586469182709475;0.5845556954701701;0.0;0.49004176828967294;0.0;0.5112186242575204;robustness test: smae split
12;20170718_17:35:19;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-1,48E+38;89.51;90.92;90.39;91.37;90.92;89.8;90.65;88.18;90.89;88.18;91.19;0.3276743754974756;0.5580468979681413;0.5197693049823832;0.5028336111383469;0.4364707683697556;0.5586469182709475;0.5845556954701701;0.0;0.528273783293085;0.0;0.509894081527421;robustness test: smae split
13;20170718_18:08:13;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-1,48E+38;89.51;90.92;90.39;91.37;91.13;89.8;90.65;88.18;91.27;88.18;91.37;0.3276743754974756;0.5580468979681413;0.5197693049823832;0.5028336111383469;0.4605822227972574;0.5586469182709475;0.5845556954701701;0.0;0.5192282476351039;0.0;0.5186261107313739;robustness test: smae split
